a,b,n,median_delta,p,p_adj,sig
BLOSUM62,Chai-1,38,-0.07748998313214239,7.275957614183426e-12,7.275957614183426e-11,***
BLOSUM62,ESMC 300M,38,-0.08494492372818052,7.275957614183426e-12,7.275957614183426e-11,***
BLOSUM62,ESM3 Small,38,-0.06234208048072437,1.382431946694851e-10,1.1059455573558807e-09,***
BLOSUM62,DeepNeo,38,-0.04856518022298678,1.5995734429452568e-05,0.00011197014100616798,***
Chai-1,ESMC 300M,38,-0.0029039124548604356,0.08712831549928524,0.13015207936405204,ns
Chai-1,ESM3 Small,38,0.012349541526234575,0.004469689047255088,0.013409067141765263,*
Chai-1,DeepNeo,38,0.022172889060453504,0.00017394948372384533,0.0008697474186192267,***
ESMC 300M,ESM3 Small,38,0.013564524288148194,0.00021384115098044276,0.0008697474186192267,***
ESMC 300M,DeepNeo,38,0.024426964086486813,3.949330857722089e-05,0.00023695985146332532,***
ESM3 Small,DeepNeo,38,0.006128357795371686,0.06507603968202602,0.13015207936405204,ns
