model,lr,seed,fold,dir,kind,group,root,rel,path,src_path,file_path,val_auc,val_loss,test_path,roc_auc,pr_auc,f1,accuracy,mcc
af3,e5,s100,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,-0.7407,0.41777,dataset/full/test.csv,0.8887596484591962,0.9222880251932266,0.8325305214482143,0.802262574454004,0.5917052171582722
af3,e5,s100,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,3.60797,0.47401,dataset/full/test.csv,0.8561954778608681,0.8967575019986271,0.8115178769898945,0.7720259761747187,0.5266932214355496
af3,e5,s100,2,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold2.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold2.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold2.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold2.csv,-2.27773,0.43182,dataset/full/test.csv,0.8856335414841507,0.9193194212487432,0.8332227537800747,0.8024487094639312,0.5917590405032396
af3,e5,s100,3,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold3.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold3.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold3.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold3.csv,-2.44938,0.42605,dataset/full/test.csv,0.8848178455742277,0.9192447579721588,0.8294246431386286,0.7985812375909993,0.5840833545646759
af3,e5,s100,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,-1.304,0.4353,dataset/full/test.csv,0.8804992898882371,0.9165973888559044,0.8276185676300377,0.7948585373924554,0.5755784059240017
af3,e5,s128,0,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold0.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold0.csv,/home/hwjang/project/250513/1_bulk/4/plots/e5_s128/pred-af3_fold0.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold0.csv,-1.12754,0.40374,dataset/full/test.csv,0.8993492426852767,0.9299800811265913,0.8406656191972576,0.8154367968232958,0.6214169186643185
af3,e5,s128,1,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold1.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold1.csv,/home/hwjang/project/250513/1_bulk/4/plots/e5_s128/pred-af3_fold1.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold1.csv,2.9284,0.45175,dataset/full/test.csv,0.8758037195213951,0.91318446149134,0.8170762604509755,0.7909497021839841,0.5738517765211244
af3,e5,s128,2,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold2.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold2.csv,/home/hwjang/project/250513/1_bulk/4/plots/e5_s128/pred-af3_fold2.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold2.csv,2.11525,0.4575,dataset/full/test.csv,0.8603849478820913,0.9008821619977934,0.807093303128982,0.7745698213103904,0.5360008288463943
af3,e5,s128,3,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold3.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold3.csv,/home/hwjang/project/250513/1_bulk/4/plots/e5_s128/pred-af3_fold3.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold3.csv,-5.53419,0.43048,dataset/full/test.csv,0.8810650074405948,0.9178778983787382,0.8229769302192701,0.7949619457313037,0.5794257655108077
af3,e5,s128,4,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold4.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold4.csv,/home/hwjang/project/250513/1_bulk/4/plots/e5_s128/pred-af3_fold4.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold4.csv,-1.45632,0.44374,dataset/full/test.csv,0.8803303615802044,0.9147407116084368,0.8291381955096918,0.797278292521509,0.5808829750422555
