model,lr,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,accuracy,accuracy_sd,mcc,mcc_sd,n_seeds,seeds,n
af3,e5,0.8760334497641095,0.005630896725230394,0.9130479037141944,0.003540779287335391,0.8225541107752727,0.004781856943188145,0.7909317780719171,0.005906363267337678,0.568846043181855,0.012819089179343336,3.0,s100|s128|s42,
blosum,e3,0.8713232960301921,0.004757517613977041,0.9072839539560613,0.003886339336735408,0.8179140495793097,0.00330484093062068,0.7880473748069711,0.004289697648292041,0.5645911863235478,0.00935776279472232,3.0,s100|s128|s42,
boltz,e5,0.883721534413208,0.0040495450202179106,0.9184354249570864,0.0030162039396496193,0.8300522388456457,0.0022904982893099343,0.7994567615265828,0.003441410459196961,0.586555940388953,0.007792458521765319,3.0,s100|s128|s42,
chai,e5,0.9138029647743537,0.0007336539659263775,0.9405280536989298,0.0005885071242090151,0.8548051905189533,0.0016194776038862984,0.8312720604456211,0.0009050193209779566,0.6539404005634694,0.0018644904156369187,3.0,s100|s128|s42,
deepneo,e3,0.8942827071461861,0.0015157643588077645,0.9270332180788148,0.0012551024975635465,0.8377093775877326,0.0022321101536085233,0.8109595938404732,0.0015271384643069867,0.61176454362697,0.003554540906154574,3.0,s100|s128|s42,
esm3_large,e5,0.927396114944775,0.0019357454331247925,0.9505727925675602,0.001450900726415268,0.8670672984091131,0.001499008383257987,0.8465957974851092,0.002362780752664178,0.6862503321050787,0.005855466425472924,3.0,s100|s128|s42,
esm3_medium,e5,0.9195864809113786,0.003304935112212637,0.944899415915466,0.002254085698879307,0.8588093816670836,0.004268614478093057,0.837385561438341,0.004330014908380085,0.6676994957006226,0.008403748887006202,3.0,s100|s128|s42,
esm3_small,e5,0.9210836366459788,0.0011225998256721834,0.9461085894765647,0.0006955247734318174,0.8598867604775036,0.0031065109530542968,0.8390718067504963,0.0018809678376891096,0.6715714137654029,0.002258954850648694,3.0,s100|s128|s42,
esmc_large,e5,0.90935710186299,0.0009579029212872139,0.9379065581767948,0.0008217876069018607,0.8466204733786334,0.002949306046709465,0.8256163136995367,0.0015622696924507964,0.6461425302686871,0.0011721174691253396,3.0,s100|s128|s42,
esmc_medium,e5,0.9214219975125341,0.0012666344190565037,0.9462958576689532,0.0008894592672803706,0.8598201438632822,0.0017748839966623736,0.8389959739686742,0.0022300720547264,0.671604126793223,0.0046164343462958835,3.0,s100|s128|s42,
esmc_small,e5,0.9192562871217403,0.0018359761307504955,0.9447623795861896,0.0012305943555381135,0.8585667504378528,0.0015082162515183781,0.8375013787778512,0.002883894746357135,0.6683183620404204,0.006910191594865146,3.0,s100|s128|s42,
netmhcpan,,0.8383539428172966,,0.8982639118216692,,,,,,,,,,48175.0
mixmhcpred,,0.8154775545553843,,0.8816641361283404,,,,,,,,,,48351.0
