model,lr,seed,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
af3,e5,s100,0.879181160653336,0.914841419053732,0.82686287259737,0.7940354070152218,0.5739638479171478,5
af3,e5,s128,0.8793866558219126,0.9153330629205799,0.8233900617012354,0.7946393117140966,0.5783156529169802,5
af3,e5,s42,0.8695325328170798,0.9089692291682713,0.8174093980272126,0.7841206154864329,0.5542586287114373,5
blosum,e3,s100,0.8692092033254415,0.9054053278526005,0.8152600992711353,0.7857337855724685,0.5603611885735157,5
blosum,e3,s128,0.8767714621570774,0.9117526729652872,0.8216157635396684,0.7929971872931834,0.5753171121985059,5
blosum,e3,s42,0.8679892226080576,0.9046938610502965,0.8168662859271256,0.7854111515552613,0.5580952581986217,5
boltz,e5,s100,0.8868284661019104,0.9206561509028995,0.8315220075538592,0.8024859364659166,0.5934818356356422,5
boltz,e5,s128,0.8791416769084675,0.9150015369873803,0.827413091544465,0.7957147584381203,0.578118418302667,5
boltz,e5,s42,0.8851944602292463,0.9196485869809793,0.831221617438613,0.8001695896757115,0.5880675672285497,5
chai,e5,s100,0.9132391792155365,0.9401388952362802,0.8555171497489324,0.8308942753143613,0.6520225961151552,5
chai,e5,s128,0.9135372650734712,0.9402401835510903,0.8529516985498828,0.8306171409662475,0.6540520459885849,5
chai,e5,s42,0.9146324500340535,0.9412050823094187,0.8559467232580447,0.8323047650562542,0.6557465595866678,5
deepneo,e3,s100,0.8937600760717416,0.9267506903352031,0.835180107941555,0.8101330088532708,0.6118479472448433,5
deepneo,e3,s128,0.8930974114151505,0.9259434596782967,0.8385445801920313,0.8100239164184113,0.6081690348549413,5
deepneo,e3,s42,0.8959906339516662,0.9284055042229445,0.8394034446296118,0.8127218562497378,0.6152766487811251,5
esm3_large,e5,s100,0.928438803135011,0.9514108164277045,0.8673943184416515,0.8484240569159496,0.6915489228001631,5
esm3_large,e5,s128,0.9285869949545337,0.9514101245097157,0.8683758004705174,0.8474354731965585,0.6872383695089236,5
esm3_large,e5,s42,0.9251625467447806,0.9488974367652604,0.8654317763151704,0.8439278623428192,0.6799637040061492,5
esm3_medium,e5,s100,0.9215695806225659,0.9461919450756578,0.8620472592489374,0.8400934811383189,0.6723255932038025,5
esm3_medium,e5,s128,0.9157712662832681,0.9422966420419006,0.8539720300474037,0.8323916280608868,0.6579991327026937,5
esm3_medium,e5,s42,0.9214185958283018,0.9462096606288396,0.8604088557049098,0.8396715751158172,0.6727737611953717,5
esm3_small,e5,s100,0.9223546344833815,0.9469005109563046,0.86281865079025,0.8410117471872931,0.6741496082420173,5
esm3_small,e5,s128,0.9202275617957086,0.9455968704199205,0.8566310039632035,0.8372559563203177,0.6699394434487775,5
esm3_small,e5,s42,0.9206687136588461,0.9458283870534692,0.8602106266790571,0.8389477167438782,0.6706251896054137,5
esmc_large,e5,s100,0.909357817492098,0.93775535455975,0.8459140119570628,0.8254012243547318,0.6464365381101622,5
esmc_large,e5,s128,0.9083988413276355,0.937170872138433,0.8440885541189613,0.8241727332892126,0.6448513983379383,5
esmc_large,e5,s42,0.9103146467692363,0.9387934478322013,0.8498588540598764,0.8272749834546659,0.6471396543579606,5
esmc_medium,e5,s100,0.9200009759856987,0.9452867784778348,0.857991721556529,0.8364865982792853,0.66631211359702,5
esmc_medium,e5,s128,0.9218326981414643,0.9466346951894199,0.8599325650798713,0.8397501654533421,0.6736956847263704,5
esmc_medium,e5,s42,0.9224323184104394,0.9469660993396047,0.8615361449534464,0.8407511581733951,0.6748045820562789,5
esmc_small,e5,s100,0.9200567941773322,0.9455433083581933,0.8592669524676451,0.8384058570483124,0.6700400240788096,5
esmc_small,e5,s128,0.9205560923262082,0.9454000081715066,0.8595975926149272,0.8398246194573129,0.6742049496199879,5
esmc_small,e5,s42,0.9171559748616807,0.9433438222288691,0.8568357062309859,0.8342736598279284,0.6607101124224635,5
