model,lr,seed,fold,dir,kind,group,root,rel,path,src_path,file_path,val_auc,val_loss,test_path,roc_auc,pr_auc,f1,accuracy,mcc
af3,e5,s100,0,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s100/pred-af3_fold0.csv,260830/1_ms/plots_ql/e5_s100/pred-af3_fold0.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s100/pred-af3_fold0.csv,260830/1_ms/plots_ql/e5_s100/pred-af3_fold0.csv,-0.12419,0.26699,dataset/ms_ql/test.csv,0.9537307398900045,0.9379976638704808,0.8574068370803819,0.8893998208420424,0.7672916880357232
af3,e5,s100,1,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s100/pred-af3_fold1.csv,260830/1_ms/plots_ql/e5_s100/pred-af3_fold1.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s100/pred-af3_fold1.csv,260830/1_ms/plots_ql/e5_s100/pred-af3_fold1.csv,0.02097,0.28401,dataset/ms_ql/test.csv,0.9455565518359322,0.9273827282179068,0.8400963781695797,0.8751567632128994,0.7377605508662863
af3,e5,s100,2,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s100/pred-af3_fold2.csv,260830/1_ms/plots_ql/e5_s100/pred-af3_fold2.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s100/pred-af3_fold2.csv,260830/1_ms/plots_ql/e5_s100/pred-af3_fold2.csv,-0.1519,0.22261,dataset/ms_ql/test.csv,0.9658533337631136,0.9556108484594428,0.8778819551183523,0.9051060017915796,0.8004520159709186
af3,e5,s100,3,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s100/pred-af3_fold3.csv,260830/1_ms/plots_ql/e5_s100/pred-af3_fold3.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s100/pred-af3_fold3.csv,260830/1_ms/plots_ql/e5_s100/pred-af3_fold3.csv,0.03529,0.27141,dataset/ms_ql/test.csv,0.9491471973891784,0.932818388422673,0.8491380957841226,0.8821439235592714,0.7524859349241244
af3,e5,s100,4,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s100/pred-af3_fold4.csv,260830/1_ms/plots_ql/e5_s100/pred-af3_fold4.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s100/pred-af3_fold4.csv,260830/1_ms/plots_ql/e5_s100/pred-af3_fold4.csv,-0.356,0.26377,dataset/ms_ql/test.csv,0.9519790360683704,0.935919711854023,0.8531741562488269,0.8832188713048671,0.7563902912789519
af3,e5,s128,0,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s128/pred-af3_fold0.csv,260830/1_ms/plots_ql/e5_s128/pred-af3_fold0.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s128/pred-af3_fold0.csv,260830/1_ms/plots_ql/e5_s128/pred-af3_fold0.csv,0.04154,0.28557,dataset/ms_ql/test.csv,0.9431747958193596,0.9234728525476794,0.8323726256334868,0.8706180949537176,0.7274195846627359
af3,e5,s128,1,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s128/pred-af3_fold1.csv,260830/1_ms/plots_ql/e5_s128/pred-af3_fold1.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s128/pred-af3_fold1.csv,260830/1_ms/plots_ql/e5_s128/pred-af3_fold1.csv,0.17287,0.30424,dataset/ms_ql/test.csv,0.9397180361473192,0.9162760920381542,0.8239145685556162,0.8650940579277396,0.715344018534073
af3,e5,s128,2,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s128/pred-af3_fold2.csv,260830/1_ms/plots_ql/e5_s128/pred-af3_fold2.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s128/pred-af3_fold2.csv,260830/1_ms/plots_ql/e5_s128/pred-af3_fold2.csv,-0.20315,0.28812,dataset/ms_ql/test.csv,0.9423297656903648,0.923393648191143,0.8354612616025763,0.8703194983577187,0.7284583696452986
af3,e5,s128,3,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s128/pred-af3_fold3.csv,260830/1_ms/plots_ql/e5_s128/pred-af3_fold3.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s128/pred-af3_fold3.csv,260830/1_ms/plots_ql/e5_s128/pred-af3_fold3.csv,-0.23008,0.25349,dataset/ms_ql/test.csv,0.9599859144204812,0.9470351860485406,0.8694802510428802,0.8962974022096148,0.7835874004120083
af3,e5,s128,4,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s128/pred-af3_fold4.csv,260830/1_ms/plots_ql/e5_s128/pred-af3_fold4.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s128/pred-af3_fold4.csv,260830/1_ms/plots_ql/e5_s128/pred-af3_fold4.csv,0.22774,0.28235,dataset/ms_ql/test.csv,0.9446069113330708,0.9253987788693828,0.8337997083513972,0.8740818154673037,0.7340304559453574
af3,e5,s42,0,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s42/pred-af3_fold0.csv,260830/1_ms/plots_ql/e5_s42/pred-af3_fold0.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s42/pred-af3_fold0.csv,260830/1_ms/plots_ql/e5_s42/pred-af3_fold0.csv,-0.17875,0.2573,dataset/ms_ql/test.csv,0.9526228150697762,0.9392208390710044,0.8534199435486989,0.8868020304568528,0.7615980059547313
af3,e5,s42,1,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s42/pred-af3_fold1.csv,260830/1_ms/plots_ql/e5_s42/pred-af3_fold1.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s42/pred-af3_fold1.csv,260830/1_ms/plots_ql/e5_s42/pred-af3_fold1.csv,-0.06715,0.26491,dataset/ms_ql/test.csv,0.9547388641375968,0.9395801194261176,0.8580025900815114,0.8886831890116452,0.7664739633525259
af3,e5,s42,2,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s42/pred-af3_fold2.csv,260830/1_ms/plots_ql/e5_s42/pred-af3_fold2.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s42/pred-af3_fold2.csv,260830/1_ms/plots_ql/e5_s42/pred-af3_fold2.csv,-0.29084,0.27157,dataset/ms_ql/test.csv,0.9503009180946348,0.9330544723803228,0.8481951292957428,0.8795759928336817,0.7484954789763533
af3,e5,s42,3,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s42/pred-af3_fold3.csv,260830/1_ms/plots_ql/e5_s42/pred-af3_fold3.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s42/pred-af3_fold3.csv,260830/1_ms/plots_ql/e5_s42/pred-af3_fold3.csv,-0.08114,0.26941,dataset/ms_ql/test.csv,0.9570739478910172,0.9440971051697264,0.8615662107320006,0.88999701403404,0.7704418883224617
af3,e5,s42,4,plots_ql,plots,ql,260830/1_ms,260830/1_ms/plots_ql/e5_s42/pred-af3_fold4.csv,260830/1_ms/plots_ql/e5_s42/pred-af3_fold4.csv,/home/hwjang/project/260830/1_ms/plots_ql/e5_s42/pred-af3_fold4.csv,260830/1_ms/plots_ql/e5_s42/pred-af3_fold4.csv,0.18211,0.31732,dataset/ms_ql/test.csv,0.930271147405739,0.9040043918921778,0.809335810496981,0.8529113168109883,0.6900154173243841
