model,lr,dir,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,accuracy,accuracy_sd,mcc,mcc_sd,n_seeds,seeds,n
af3,e5,plots_ql,0.9494059983303972,0.0036619342334582483,0.9323508550972517,0.005424219109970901,0.8468830347828104,0.008294389233303806,0.8806270528515975,0.005929346521074862,0.7493496709470623,0.012666530902903499,3.0,s100|s128|s42,
blosum,e3,plots_ql,0.9587042370568027,0.006573335670683733,0.9451690179395565,0.009184482569884538,0.864331876431346,0.009484154132032937,0.8950691748780731,0.00848897326331464,0.7795385679612833,0.017153182381733252,3.0,s100|s128|s42,
boltz,e5,plots_ql,0.962180571286913,0.00124166892379573,0.9501757380884036,0.0017599950580826148,0.8709155358182409,0.00445543591434794,0.8972668458246242,0.005471627074946697,0.7868428668795282,0.009159393169971521,3.0,s100|s128|s42,
chai,e5,plots_ql,0.98655769421044,0.0017166460219142068,0.9824409587670967,0.002231704357923353,0.9341792439366244,0.00535508652460394,0.9483049666567135,0.0040408861583556424,0.8917384170659584,0.008569680869126699,3.0,s100|s128|s42,
deepneo,e3,plots_ql,0.9800377113965123,0.00040484838721429705,0.9741532310460027,0.0006447682227953063,0.9174935891840893,0.00047310170029133775,0.9350723936765105,0.00042097005370871326,0.8641091587428388,0.0008477029323346791,3.0,s100|s128|s42,
esm3_large,e5,plots_ql,0.993924810199868,0.0005462249348080728,0.9917951402094296,0.0007559060473686812,0.9572173349206281,0.0026527956977902578,0.9662705285159751,0.002060818439733114,0.9295140474723304,0.004303048681323804,3.0,s100|s128|s42,
esm3_medium,e5,plots_ql,0.9903042752387266,0.00026412722604114225,0.9874671155585949,0.0003277231885708425,0.9474547157474172,0.0018493052062619796,0.9588633422912313,0.0015144981048771607,0.9137458701782828,0.003086594514056439,3.0,s100|s128|s42,
esm3_small,e5,plots_ql,0.9902348512828084,0.0003822790290761692,0.9872888885965189,0.0006070730551269423,0.946705664970955,0.002223767540171702,0.9583875783816064,0.001685936776192502,0.9126714265764301,0.003561787832887925,3.0,s100|s128|s42,
esmc_large,e5,plots_ql,0.9868939095315753,0.0008747976075276823,0.9823863851325938,0.001303268182192478,0.9313316921026432,0.0024303710831543005,0.9463103413954416,0.00183966846644169,0.8876828862429909,0.003964912355045345,3.0,s100|s128|s42,
esmc_medium,e5,plots_ql,0.9902240793710634,0.00033871320337124317,0.9869655577783142,0.0006694072123528778,0.9442378341093834,0.001092229166684827,0.9563332338011347,0.0007702634738672435,0.908487966404484,0.0016411464253613683,3.0,s100|s128|s42,
esmc_small,e5,plots_ql,0.9896757140697119,0.0007071864207955602,0.9865435400911858,0.0009820411977560636,0.9438790380456871,0.003420341723648045,0.9563153180053746,0.002462674407248405,0.908307303578261,0.005189245986990626,3.0,s100|s128|s42,
netmhcpan,,plots_ql,0.9741052048582307,,0.9710778500967748,,,,,,,,,,33332.0
mixmhcpred,,plots_ql,0.950912204811488,,0.9447508255439812,,,,,,,,,,33489.0
