model,lr,seed,dir,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
af3,e5,s100,plots_ql,0.9532533717893198,0.9379458681649051,0.8555394844802526,0.887005076142132,0.7628760962152009,5
af3,e5,s128,plots_ql,0.9459630846821192,0.9271153115389801,0.8390056830371913,0.8752821737832189,0.7377679658398947,5
af3,e5,s42,plots_ql,0.9490015385197529,0.9319913855878699,0.846103936830987,0.8795939086294415,0.7474049507860913,5
blosum,e3,s100,plots_ql,0.9622144653744297,0.949896240980778,0.8687439576198444,0.8995401612421619,0.7883473265709852,5
blosum,e3,s128,plots_ql,0.951120961549152,0.9345838042748731,0.8534454364056344,0.8852791878172589,0.7597707256796811,5
blosum,e3,s42,plots_ql,0.9627772842468266,0.9510270085630186,0.870806235268559,0.9003881755747984,0.7904976516331835,5
boltz,e5,s100,plots_ql,0.9613559188444144,0.9490528905212738,0.8661032010812008,0.8916392953120335,0.7773902607321774,5
boltz,e5,s128,plots_ql,0.9615771697010551,0.9492701947250228,0.8717462715091344,0.8975933114362495,0.7874605617935683,5
boltz,e5,s42,plots_ql,0.9636086253152696,0.9522041290189144,0.8748971348643874,0.9025679307255897,0.7956777781128387,5
chai,e5,s100,plots_ql,0.9845761779364851,0.9798647718212177,0.928030708226402,0.9436846819946252,0.8819263507331818,5
chai,e5,s128,plots_ql,0.9875939331850592,0.9837833657382309,0.9378223554882684,0.9511794565541953,0.8977543808200732,5
chai,e5,s42,plots_ql,0.9875029715097758,0.9836747387418414,0.9366846680952026,0.9500507614213198,0.89553451964462,5
deepneo,e3,s100,plots_ql,0.98040810410408,0.9746537723988709,0.9180396164735548,0.9355560257534081,0.8650827650935072,5
deepneo,e3,s128,plots_ql,0.979605514742596,0.9734256556171532,0.9172058830859292,0.9348728954447904,0.8637099242088226,5
deepneo,e3,s42,plots_ql,0.9800995153428611,0.974380265121984,0.9172352679927837,0.9347882598313333,0.8635347869261862,5
esm3_large,e5,s100,plots_ql,0.9944263507595197,0.9925416486741778,0.9593552309683722,0.9678351746790087,0.932899393340778,5
esm3_large,e5,s128,plots_ql,0.9940052565857979,0.9918135973331497,0.958048222516223,0.9670409077336519,0.9309711051562835,5
esm3_large,e5,s42,plots_ql,0.9933428232542865,0.9910301746209615,0.9542485512772894,0.9639355031352643,0.9246716439199296,5
esm3_medium,e5,s100,plots_ql,0.9905731853581354,0.9877942888032016,0.9492237611258367,0.9603523439832786,0.9167849035595836,5
esm3_medium,e5,s128,plots_ql,0.9902944343928818,0.9874682126918268,0.9476059481367501,0.9589131083905643,0.9138388896189197,5
esm3_medium,e5,s42,plots_ql,0.9900452059651625,0.9871388451807563,0.9455344379796646,0.9573245744998508,0.910613817356345,5
esm3_small,e5,s100,plots_ql,0.9906737572928332,0.9879825239249508,0.9492601779913841,0.9603105404598388,0.9167349852438702,5
esm3_small,e5,s128,plots_ql,0.9899746749203155,0.9868543770464016,0.945202599926656,0.9571633323380114,0.9100901467570759,5
esm3_small,e5,s42,plots_ql,0.9900561216352765,0.9870297648182043,0.9456542169948252,0.9576888623469693,0.9111891477283438,5
esmc_large,e5,s100,plots_ql,0.9870524172100816,0.9825648715632676,0.9303871367610224,0.9460973424902956,0.8872148415242318,5
esmc_large,e5,s128,plots_ql,0.9876786159582067,0.9835912110422514,0.9340925424742421,0.948247237981487,0.8918610473662987,5
esmc_large,e5,s42,plots_ql,0.9859506954264379,0.9810030727922623,0.9295153970726652,0.9445864437145417,0.8839727698384419,5
esmc_medium,e5,s100,plots_ql,0.9904710643460403,0.9874153955792855,0.9442512587267494,0.9561779635712153,0.9083964532758746,5
esmc_medium,e5,s128,plots_ql,0.9903632186614308,0.9872850105161077,0.9453232890897608,0.9571693042699312,0.910172954679056,5
esmc_medium,e5,s42,plots_ql,0.9898379551057189,0.986196267239549,0.9431389545116401,0.9556524335622575,0.9068944912585216,5
esmc_small,e5,s100,plots_ql,0.9898798310216297,0.9866937109793164,0.9437808394224758,0.9561301881158555,0.9079581837273061,5
esmc_small,e5,s128,plots_ql,0.9902583926500108,0.9874418463680421,0.947347421679973,0.9588653329352045,0.9136622940274256,5
esmc_small,e5,s42,plots_ql,0.9888889185374954,0.9854950629261989,0.9405088530346124,0.9539504329650642,0.9033014329800512,5
