model,lr,seed,fold,dir,kind,group,root,rel,path,src_path,file_path,val_auc,val_loss,test_path,roc_auc,pr_auc,f1,accuracy,mcc
af3,e5,s100,0,plots_1000,plots,1000,260830/2_ic50,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold0.csv,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold0.csv,/home/hwjang/project/260830/2_ic50/plots_1000/e5_s100/pred-af3_fold0.csv,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold0.csv,-0.06033,0.54202,dataset/ic50/test.csv,0.8026232273911149,0.7626970963940736,0.7017244057790897,0.7286219081272085,0.4529300382776969
af3,e5,s100,1,plots_1000,plots,1000,260830/2_ic50,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold1.csv,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold1.csv,/home/hwjang/project/260830/2_ic50/plots_1000/e5_s100/pred-af3_fold1.csv,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold1.csv,-0.08361,0.53107,dataset/ic50/test.csv,0.798341176405532,0.7619349264574891,0.6938237119801366,0.7211307420494699,0.43789772569212
af3,e5,s100,2,plots_1000,plots,1000,260830/2_ic50,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold2.csv,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold2.csv,/home/hwjang/project/260830/2_ic50/plots_1000/e5_s100/pred-af3_fold2.csv,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold2.csv,0.12814,0.54963,dataset/ic50/test.csv,0.7834706109754082,0.739357005178052,0.6781990521327014,0.7120848056537102,0.4185965862619359
af3,e5,s100,3,plots_1000,plots,1000,260830/2_ic50,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold3.csv,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold3.csv,/home/hwjang/project/260830/2_ic50/plots_1000/e5_s100/pred-af3_fold3.csv,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold3.csv,-0.2749,0.53454,dataset/ic50/test.csv,0.8066565186813585,0.7703479199631331,0.7065803667745415,0.7308833922261484,0.4580563845259238
af3,e5,s100,4,plots_1000,plots,1000,260830/2_ic50,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold4.csv,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold4.csv,/home/hwjang/project/260830/2_ic50/plots_1000/e5_s100/pred-af3_fold4.csv,260830/2_ic50/plots_1000/e5_s100/pred-af3_fold4.csv,-0.28194,0.55394,dataset/ic50/test.csv,0.7820615625450866,0.7404415190626324,0.6851837642906469,0.710035335689046,0.416437953336975
af3,e5,s100,0,plots_500,plots,500,260830/2_ic50,260830/2_ic50/plots_500/e5_s100/pred-af3_fold0.csv,260830/2_ic50/plots_500/e5_s100/pred-af3_fold0.csv,/home/hwjang/project/260830/2_ic50/plots_500/e5_s100/pred-af3_fold0.csv,260830/2_ic50/plots_500/e5_s100/pred-af3_fold0.csv,0.33096,0.53335,dataset/ic50/test.csv,0.7897649780515144,0.6757485355521244,0.6249509611612397,0.7297526501766785,0.4139647791838729
af3,e5,s100,1,plots_500,plots,500,260830/2_ic50,260830/2_ic50/plots_500/e5_s100/pred-af3_fold1.csv,260830/2_ic50/plots_500/e5_s100/pred-af3_fold1.csv,/home/hwjang/project/260830/2_ic50/plots_500/e5_s100/pred-af3_fold1.csv,260830/2_ic50/plots_500/e5_s100/pred-af3_fold1.csv,0.37466,0.49897,dataset/ic50/test.csv,0.806263885618647,0.6971821356591126,0.6327775518503457,0.7447349823321555,0.439537637303041
af3,e5,s100,2,plots_500,plots,500,260830/2_ic50,260830/2_ic50/plots_500/e5_s100/pred-af3_fold2.csv,260830/2_ic50/plots_500/e5_s100/pred-af3_fold2.csv,/home/hwjang/project/260830/2_ic50/plots_500/e5_s100/pred-af3_fold2.csv,260830/2_ic50/plots_500/e5_s100/pred-af3_fold2.csv,0.33371,0.51725,dataset/ic50/test.csv,0.8003096359566868,0.6895662953742272,0.6482991284790554,0.7347703180212014,0.4361395657470628
af3,e5,s100,3,plots_500,plots,500,260830/2_ic50,260830/2_ic50/plots_500/e5_s100/pred-af3_fold3.csv,260830/2_ic50/plots_500/e5_s100/pred-af3_fold3.csv,/home/hwjang/project/260830/2_ic50/plots_500/e5_s100/pred-af3_fold3.csv,260830/2_ic50/plots_500/e5_s100/pred-af3_fold3.csv,0.36612,0.51219,dataset/ic50/test.csv,0.8047367687739415,0.6967545450433126,0.6261316872427983,0.7431802120141343,0.4340993563447999
af3,e5,s100,4,plots_500,plots,500,260830/2_ic50,260830/2_ic50/plots_500/e5_s100/pred-af3_fold4.csv,260830/2_ic50/plots_500/e5_s100/pred-af3_fold4.csv,/home/hwjang/project/260830/2_ic50/plots_500/e5_s100/pred-af3_fold4.csv,260830/2_ic50/plots_500/e5_s100/pred-af3_fold4.csv,0.36189,0.52054,dataset/ic50/test.csv,0.7997898073621059,0.6901750377229253,0.6346078044934963,0.7379505300353357,0.4307284009021914
