model,lr,dir,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,accuracy,accuracy_sd,mcc,mcc_sd,n_seeds,seeds,n
af3,e5,plots_1000,0.7955644831908911,0.008666494180092228,0.7565848971078907,0.010421578994361236,0.6951192030984621,0.010007845359700939,0.7217290930506478,0.007406270510787727,0.4394088932166987,0.0153293531723186,3.0,s100|s128|s42,
af3,e5,plots_500,0.802889080025914,0.002796337006758415,0.6937552498626355,0.0043657161559780685,0.6338664414376646,0.0009417359871174518,0.7415736160188456,0.003353260699550373,0.4361407025161172,0.005243473464913276,3.0,s100|s128|s42,
blosum,e3,plots_1000,0.7960231057694548,0.0005108112109347447,0.7540841602540569,0.000983640605036028,0.6953692401465963,0.0018555183696265854,0.7216678445229682,0.0005042985943438172,0.4399663721923884,0.0004402026192453738,3.0,s100|s128|s42,
blosum,e3,plots_500,0.8008290916289614,0.0030251217529166955,0.6867034571642385,0.0029878819152645707,0.6223628873192601,0.011783989773699186,0.7393074204946997,0.0030733843996511873,0.4272224173049896,0.00975793853434111,3.0,s100|s128|s42,
boltz,e5,plots_1000,0.8058537044586956,0.0014205121254762074,0.7715627820820616,0.0028803221233085377,0.7070753947773835,0.0018009662100535026,0.7314864546525324,0.0007703288271467445,0.46024072960982276,0.0006536025085033608,3.0,s100|s128|s42,
boltz,e5,plots_500,0.8066963485570545,0.004758222499790102,0.7001892353834598,0.005417840856061967,0.6472317261746988,0.0030739571005613665,0.7466572438162545,0.003714411259305953,0.4507167167469755,0.004667422347136738,3.0,s100|s128|s42,
chai,e5,plots_1000,0.8231821695742422,0.0006783698825521187,0.7902907073630719,0.0013100401143491735,0.7219831396545843,0.0041387333405527,0.7438492343934039,0.0006693043417839005,0.4854980505809305,0.0021611667198232405,3.0,s100|s128|s42,
chai,e5,plots_500,0.8272379892339051,0.004990386111000495,0.7298913534681275,0.006639082230196415,0.6618020226930232,0.0062124231255746626,0.7620588928150765,0.003084263900176502,0.480733868045977,0.0070013766155739956,3.0,s100|s128|s42,
deepneo,e3,plots_1000,0.8223272487544472,0.0018851364144901886,0.7895641811534726,0.0029021253019649216,0.7220522549599923,0.0034225881975053062,0.7457675143444075,0.002253805808638556,0.4881104851623454,0.0045812125597639195,3.0,s100|s128|s42,
deepneo,e3,plots_500,0.8296241743639164,0.0013882515140230356,0.7321690302794117,0.0019171871685191634,0.6635135209808604,0.0016014998864678166,0.7625652286840925,0.0009947769693715663,0.48173119481591814,0.0012595394059607642,3.0,s100|s128|s42,
esm3_large,e5,plots_1000,0.8356042493515495,0.0016039414841477792,0.806426008309526,0.002205840965866238,0.7291877448817736,0.004225932763484359,0.7557314487632508,0.0017382285952953652,0.5079503156746308,0.0036141858142121185,3.0,s100|s128|s42,
esm3_large,e5,plots_500,0.834847105296736,0.0012309017213298992,0.7422404987337595,0.0018988052287395591,0.6673106531165965,0.004715542762508673,0.7684240282685512,0.001972681104183618,0.49400060608867974,0.004599195740456984,3.0,s100|s128|s42,
esm3_medium,e5,plots_1000,0.8319679165479021,0.0016032722705696936,0.8012621933714765,0.0019750463562745587,0.7301243040014209,0.004268753042638487,0.7535830388692579,0.0010390375095117768,0.5042685417882383,0.001447050001266905,3.0,s100|s128|s42,
esm3_medium,e5,plots_500,0.8352227865110445,0.00198334392178885,0.7418261456209244,0.001400275565811463,0.6750066328435639,0.004523087195482284,0.7682591283863368,0.0010233775176831186,0.49638302038095317,0.0034973379074708364,3.0,s100|s128|s42,
esm3_small,e5,plots_1000,0.8337069628484203,0.004371720299590553,0.8016017087250039,0.004627545572908237,0.7345271120696859,0.0038241212586019183,0.7539034157832744,0.0033962677141109216,0.5059610867339154,0.006521864448508616,3.0,s100|s128|s42,
esm3_small,e5,plots_500,0.8390273872133776,0.0019369115922998712,0.7442314168516111,0.0023465189033813035,0.6822661436079375,0.008538916766632211,0.7705865724381625,0.0016300441829923634,0.503823983676201,0.006906514647395477,3.0,s100|s128|s42,
esmc_large,e5,plots_1000,0.8251515074433361,0.0031405245285631793,0.7951590634511542,0.0029030547719240043,0.7191386677138519,0.00560718569626968,0.7456018845700824,0.002772672733076768,0.48780948044580114,0.005938611755900555,3.0,s100|s128|s42,
esmc_large,e5,plots_500,0.8253239812737924,0.00147506181403121,0.7289040419538951,0.001268150027015292,0.657833668450328,0.0044255430224455685,0.7623557126030623,0.0007705881243750066,0.4792268218028221,0.0026945246931792876,3.0,s100|s128|s42,
esmc_medium,e5,plots_1000,0.8353132816784794,0.0015073106170440536,0.8058865101544566,0.0022559719741815612,0.7362249281726149,0.005921097039238097,0.7554204946996466,0.0010306397441207451,0.5090986112993585,0.0032280908213162046,3.0,s100|s128|s42,
esmc_medium,e5,plots_500,0.8368387255603933,0.0011488153053449655,0.7432778010463953,0.0014915208925473042,0.6754939259231271,0.0034238418179162846,0.7702520612485276,0.0004357240554247266,0.49928015779581997,0.0020365633719563437,3.0,s100|s128|s42,
esmc_small,e5,plots_1000,0.8346822975132576,0.0022008861203515733,0.8024141292162635,0.00364276785011412,0.7398841785296284,0.0023484092484345916,0.7553780918727915,0.0010288937178884756,0.510135889161779,0.0025435755654335435,3.0,s100|s128|s42,
