model,lr,seed,dir,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
af3,e5,s100,plots_1000,0.7946306191997,0.754955693411076,0.6931022601914232,0.7205512367491166,0.43678373761893036,5
af3,e5,s100,plots_500,0.8001730151525791,0.6898853098703405,0.6333534266453871,0.7380777385159011,0.4308939478961936,5
af3,e5,s128,plots_1000,0.8046600909196477,0.7677251263087365,0.7059819083997242,0.7296537102473498,0.4558813023882369,5
af3,e5,s128,plots_500,0.8057593109807145,0.6984879244351446,0.6349532972766937,0.7447632508833922,0.44138088865478287,5
af3,e5,s42,plots_1000,0.787402739453326,0.7470738716038595,0.6862734407042389,0.714982332155477,0.4255616396429289,5
af3,e5,s42,plots_500,0.8027349139444485,0.6928925152824216,0.633292600390913,0.7418798586572438,0.436147270997375,5
blosum,e3,s100,plots_1000,0.7965554433401082,0.7546809524565894,0.6932449397180129,0.7222190812720848,0.44047400273505577,5
blosum,e3,s100,plots_500,0.7980201956361894,0.6841825608659672,0.6142580461255299,0.7374558303886926,0.42107068426316935,5
blosum,e3,s128,plots_1000,0.7955369582888647,0.752948848302706,0.6966731737078377,0.7212296819787986,0.4396899345846613,5
blosum,e3,s128,plots_500,0.8040318552529033,0.6900038194609761,0.635880828340537,0.7428551236749117,0.43847352081797597,5
blosum,e3,s42,plots_1000,0.7959769156793913,0.7546226800028755,0.6961896070139384,0.7215547703180212,0.43973517925744804,5
blosum,e3,s42,plots_500,0.8004352239977914,0.6859239911657724,0.6169497874917135,0.7376113074204947,0.4221230468338235,5
boltz,e5,s100,plots_1000,0.8061082841643671,0.7720479874563372,0.7057390737084941,0.7322544169611307,0.4609952981250098,5
boltz,e5,s100,plots_500,0.8089269790298328,0.7021807755530671,0.6496895041873418,0.747660777385159,0.45366749818561447,5
boltz,e5,s128,plots_1000,0.807129713069737,0.7741696859035322,0.7091234697259808,0.7307137809187279,0.45987632968528275,5
boltz,e5,s128,plots_500,0.809929469491054,0.7043294486861141,0.6437850211961835,0.7497667844522968,0.45314702673848756,5
boltz,e5,s42,plots_1000,0.8043231161419826,0.7684706728863155,0.7063636408976756,0.7314911660777386,0.45985056101917576,5
boltz,e5,s42,plots_500,0.8012325971502768,0.6940574819111982,0.6482206531405713,0.7425441696113074,0.4453356253168246,5
chai,e5,s100,plots_1000,0.8224179760098007,0.7892608182104448,0.7185823742210492,0.7439434628975266,0.4852500664120657,5
chai,e5,s100,plots_500,0.832698577255503,0.7363426244111068,0.6689742760716152,0.7649893992932861,0.4885580746229589,5
