model,lr,seed,molecule,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
blosum,e3,s100,H2-IAbB_H2-IAbA,0.5753966758811069,0.8105216081410125,0.7539420985063435,0.640156709108717,0.056101558279602746,5
blosum,e3,s100,H2-IAdB_H2-IAdA,0.587045574288725,0.5033038682193987,0.5628547917553912,0.4824,0.06612482399686428,5
blosum,e3,s100,H2-IEdB_H2-IEdA,0.4943820224719101,0.2426101460962038,0.34214067870315357,0.2571428571428571,0.02886970705508173,5
blosum,e3,s100,HLA-DPB1~01:01_HLA-DPA1~02:01,0.7570711382633368,0.8728730644769932,0.8281043595904769,0.7101988997037664,0.14720750699698526,5
blosum,e3,s100,HLA-DPB1~02:01_HLA-DPA1~01:03,0.8851108515045839,0.9561640305991462,0.8781530362276928,0.7905103668261563,0.29233847343511593,5
blosum,e3,s100,HLA-DPB1~04:01_HLA-DPA1~01:03,0.8878177344475395,0.9626476614611642,0.9162453364300767,0.8589177250138045,0.5087385400901818,5
blosum,e3,s100,HLA-DPB1~04:02_HLA-DPA1~03:01,0.8104918833963669,0.5695445348383836,0.5520476930579881,0.660655737704918,0.3775094444776201,5
blosum,e3,s100,HLA-DPB1~05:01_HLA-DPA1~02:01,0.7210138670852956,0.36685880628027473,0.43150974074714377,0.5565573770491803,0.26092826825680243,5
blosum,e3,s100,HLA-DPB1~05:01_HLA-DPA1~02:02,0.7608370731381416,0.869568473041895,0.619694989877007,0.6133602218300983,0.33049891972847606,5
blosum,e3,s100,HLA-DQB1~02:01_HLA-DQA1~05:01,0.7894968507784738,0.8400645192958274,0.7652279572643147,0.7140350877192982,0.4126711615343906,5
blosum,e3,s100,HLA-DQB1~03:01_HLA-DQA1~02:01,0.7213147036759191,0.7429168530950564,0.7049544882849325,0.5986033519553072,0.22956753575423786,5
blosum,e3,s100,HLA-DQB1~03:01_HLA-DQA1~03:01,0.7443977591036415,0.7065821420320664,0.6448024549290372,0.6236842105263157,0.30747431916081747,5
blosum,e3,s100,HLA-DQB1~03:01_HLA-DQA1~05:01,0.7242799986773799,0.7852347876967001,0.744895387649819,0.5972027972027971,0.04326497377907196,5
blosum,e3,s100,HLA-DQB1~03:02_HLA-DQA1~03:01,0.618731151847356,0.5614391862854009,0.5407936485626694,0.5768825534552215,0.1661622506942299,5
blosum,e3,s100,HLA-DQB1~03:02_HLA-DQA1~05:01,0.7602250539922378,0.638539965603227,0.6156762388762458,0.673972602739726,0.35933294029483287,5
blosum,e3,s100,HLA-DQB1~03:03_HLA-DQA1~02:01,0.8042670479367727,0.784167113166774,0.6771971747390482,0.7095505617977528,0.4229609792509246,5
blosum,e3,s100,HLA-DQB1~03:03_HLA-DQA1~05:01,0.7993065268065268,0.7574940464493704,0.6443213395007106,0.7114068441064638,0.42151499679070586,5
blosum,e3,s100,HLA-DQB1~04:02_HLA-DQA1~02:01,0.7606297252213748,0.7067858247291858,0.641540721707489,0.6521367521367522,0.34005762471335155,5
blosum,e3,s100,HLA-DQB1~04:02_HLA-DQA1~03:03,0.6991645526805345,0.5143617390578985,0.5068834395097851,0.6239089184060721,0.2487020701875911,5
blosum,e3,s100,HLA-DQB1~04:02_HLA-DQA1~05:01,0.7344340347104901,0.773258962561888,0.5457539345228135,0.6121915820029027,0.3038862269418302,5
blosum,e3,s100,HLA-DQB1~04:02_HLA-DQA1~06:01,0.7692072237526782,0.6001275645497882,0.5703246959398932,0.6308571428571429,0.33091456715494444,5
blosum,e3,s100,HLA-DQB1~05:01_HLA-DQA1~01:01,0.6473486337959278,0.3473675954540158,0.42183349320255903,0.5585116279069767,0.17852576613456553,5
blosum,e3,s100,HLA-DQB1~05:01_HLA-DQA1~01:02,0.6669050051072523,0.729437477800104,0.39493832454306466,0.5034199726402189,0.1592599785493934,5
blosum,e3,s100,HLA-DQB1~05:02_HLA-DQA1~01:02,0.6188271604938271,0.46325078820581583,0.43998286140695814,0.6142857142857142,0.15972003487639078,5
blosum,e3,s100,HLA-DQB1~05:03_HLA-DQA1~01:04,0.5874871794871794,0.3618743198677614,0.23068020819629392,0.6574850299401198,0.05140736821966528,5
blosum,e3,s100,HLA-DQB1~06:02_HLA-DQA1~01:02,0.563008875782676,0.4249437591445906,0.41274202676886224,0.5727272727272728,0.08139880339333609,5
blosum,e3,s100,HLA-DQB1~06:03_HLA-DQA1~01:03,0.7396914446002805,0.44477471253569745,0.3950644851886061,0.7680297397769517,0.269830393784932,5
blosum,e3,s100,HLA-DRB1~01:01_HLA-DRA~01:01,0.6706742846470246,0.840305215882356,0.8561950503168804,0.7587313502861969,0.19345647104186464,5
blosum,e3,s100,HLA-DRB1~03:01_HLA-DRA~01:01,0.6801276865221952,0.6444051615659052,0.662425824991099,0.6271938283510126,0.2663712081187426,5
blosum,e3,s100,HLA-DRB1~04:04_HLA-DRA~01:01,0.5876530675566974,0.41042998253439456,0.5537997248076737,0.44254670836340304,0.1555554599968446,5
blosum,e3,s100,HLA-DRB1~04:05_HLA-DRA~01:01,0.7073109801689601,0.7738845040087713,0.8010935834503581,0.7087845105772679,0.32299916032882836,5
blosum,e3,s100,HLA-DRB1~07:01_HLA-DRA~01:01,0.7006313112766657,0.5134627660095723,0.5370523737362237,0.5417985712284634,0.24310731178229023,5
blosum,e3,s100,HLA-DRB1~08:01_HLA-DRA~01:01,0.7208555724019641,0.8814538658576149,0.45173490455709564,0.44226628895184134,0.19550477513240802,5
blosum,e3,s100,HLA-DRB1~08:02_HLA-DRA~01:01,0.6915741490792843,0.6176127134064362,0.6388298007804705,0.6086052009456264,0.2683997870438676,5
blosum,e3,s100,HLA-DRB1~09:01_HLA-DRA~01:01,0.7283847021117571,0.755005756129391,0.647216729808398,0.6497179125528915,0.3276965066736325,5
blosum,e3,s100,HLA-DRB1~11:01_HLA-DRA~01:01,0.815246326883536,0.8155290902651741,0.7753387603162432,0.7296031229668185,0.46561152200074857,5
blosum,e3,s100,HLA-DRB1~12:01_HLA-DRA~01:01,0.7291026008340495,0.6925026901014275,0.7241437030729979,0.6444978953698136,0.33527245474947326,5
blosum,e3,s100,HLA-DRB1~13:01_HLA-DRA~01:01,0.8729428038345235,0.9294198127173793,0.8513143686858626,0.8025402201524132,0.5595010482296221,5
blosum,e3,s100,HLA-DRB1~13:02_HLA-DRA~01:01,0.7142476529781563,0.6600766666297476,0.662932787633928,0.6578831796223101,0.3248893469972848,5
blosum,e3,s100,HLA-DRB1~14:54_HLA-DRA~01:01,0.8142893525121225,0.9215034682936253,0.8760764461639085,0.7912536443148688,0.3147010611960862,5
blosum,e3,s100,HLA-DRB1~15:01_HLA-DRA~01:01,0.7305039195246039,0.49382651666550836,0.46628820480555433,0.7167207792207793,0.2887776343098247,5
blosum,e3,s100,HLA-DRB1~16:02_HLA-DRA~01:01,0.6105902777777777,0.8432983740726507,0.8049309056308653,0.6942857142857143,0.06623361694373986,5
blosum,e3,s100,HLA-DRB3~01:01_HLA-DRA~01:01,0.6514955078204401,0.4950253687640953,0.5650506447917486,0.6037711313394019,0.22487028674135684,5
blosum,e3,s100,HLA-DRB3~02:02_HLA-DRA~01:01,0.6989060764648972,0.6916056260198898,0.5905323408634924,0.6157996146435453,0.24894852461942607,5
blosum,e3,s100,HLA-DRB3~03:01_HLA-DRA~01:01,0.7249331777284193,0.8189429457629119,0.7058626716818197,0.6544270833333334,0.3028558249717662,5
blosum,e3,s100,HLA-DRB4~01:01_HLA-DRA~01:01,0.7181377969047422,0.6936191963076607,0.6837196893770162,0.5686221009549796,0.22652679070983583,5
blosum,e3,s100,HLA-DRB5~01:01_HLA-DRA~01:01,0.7325430269532841,0.8160645558127655,0.7872068241412222,0.7119150157909848,0.35013327550647644,5
