HLA_Name,beta,model,method,roc_auc,roc_auc_sd,n_seeds,n_folds,pos_count,neg_count,HLA_Type
H2-IAbB_H2-IAbA,H2-IAbB,blosum,BLOSUM62,0.47627945940242405,0.01316386397524086,3.0,5.0,1533,509,H2
H2-IAg7B_H2-IAg7A,H2-IAg7B,blosum,BLOSUM62,0.5439997903399113,0.03531046924817506,3.0,5.0,483,79,H2
H2-IAdB_H2-IAdA,H2-IAdB,blosum,BLOSUM62,0.5638720583069898,0.03564379331064672,3.0,5.0,104,146,H2
H2-IAuB_H2-IAuA,H2-IAuB,blosum,BLOSUM62,0.3191358024691358,0.03476026722296563,3.0,5.0,12,9,H2
H2-IEdB_H2-IEdA,H2-IEdB,blosum,BLOSUM62,0.5196547793518972,0.019231636832078347,3.0,5.0,23,89,H2
H2-IEkB_H2-IEkA,H2-IEkB,blosum,BLOSUM62,0.5482801751094434,0.03569678271724955,3.0,5.0,41,13,H2
H2-IAsB_H2-IAsA,H2-IAsB,blosum,BLOSUM62,0.42549019607843136,0.0472499183768663,3.0,5.0,17,8,H2
H2-IAkB_H2-IAkA,H2-IAkB,blosum,BLOSUM62,0.363076923076923,0.05983705685259814,3.0,5.0,20,13,H2
H2-IAbB_H2-IAbA,H2-IAbB,chai,Chai-1,0.6301359610507281,0.0317450884644765,3.0,5.0,1533,509,H2
H2-IAg7B_H2-IAg7A,H2-IAg7B,chai,Chai-1,0.6720680346987447,0.018285084523847934,3.0,5.0,483,79,H2
H2-IAdB_H2-IAdA,H2-IAdB,chai,Chai-1,0.6540525114155251,0.0032971083557000774,3.0,5.0,104,146,H2
H2-IAuB_H2-IAuA,H2-IAuB,chai,Chai-1,0.22160493827160496,0.03960250600579122,3.0,5.0,12,9,H2
H2-IEdB_H2-IEdA,H2-IEdB,chai,Chai-1,0.6060576453346361,0.010407650037633507,3.0,5.0,23,89,H2
H2-IEkB_H2-IEkA,H2-IEkB,chai,Chai-1,0.634021263289556,0.018437473192738193,3.0,5.0,41,13,H2
H2-IAsB_H2-IAsA,H2-IAsB,chai,Chai-1,0.8303921568627451,0.011135114403529971,3.0,5.0,17,8,H2
H2-IAkB_H2-IAkA,H2-IAkB,chai,Chai-1,0.5202564102564103,0.017831116564834614,3.0,5.0,20,13,H2
H2-IAbB_H2-IAbA,H2-IAbB,esmc_small,ESMC 300M,0.6907131515307633,0.013476941378186015,3.0,5.0,1533,509,H2
H2-IAg7B_H2-IAg7A,H2-IAg7B,esmc_small,ESMC 300M,0.7293864821657886,0.02505919232686908,3.0,5.0,483,79,H2
H2-IAdB_H2-IAdA,H2-IAdB,esmc_small,ESMC 300M,0.6672374429223744,0.01701302615497596,3.0,5.0,104,146,H2
H2-IAuB_H2-IAuA,H2-IAuB,esmc_small,ESMC 300M,0.42098765432098767,0.0486559170344162,3.0,5.0,12,9,H2
H2-IEdB_H2-IEdA,H2-IEdB,esmc_small,ESMC 300M,0.6265429083211204,0.0342985887501536,3.0,5.0,23,89,H2
H2-IEkB_H2-IEkA,H2-IEkB,esmc_small,ESMC 300M,0.4767979987492182,0.03436282392839661,3.0,5.0,41,13,H2
H2-IAsB_H2-IAsA,H2-IAsB,esmc_small,ESMC 300M,0.5862745098039216,0.03015004767584668,3.0,5.0,17,8,H2
H2-IAkB_H2-IAkA,H2-IAkB,esmc_small,ESMC 300M,0.48820512820512824,0.06609269684266855,3.0,5.0,20,13,H2
H2-IAbB_H2-IAbA,H2-IAbB,esm3_small,ESM3 Small,0.7190827766008754,0.016865367007871408,3.0,5.0,1533,509,H2
H2-IAg7B_H2-IAg7A,H2-IAg7B,esm3_small,ESM3 Small,0.7092643551641901,0.030606056018051716,3.0,5.0,483,79,H2
H2-IAdB_H2-IAdA,H2-IAdB,esm3_small,ESM3 Small,0.6306023884791009,0.008486849408152615,3.0,5.0,104,146,H2
H2-IAuB_H2-IAuA,H2-IAuB,esm3_small,ESM3 Small,0.2450617283950617,0.06584715782684081,3.0,5.0,12,9,H2
H2-IEdB_H2-IEdA,H2-IEdB,esm3_small,ESM3 Small,0.5356130923302395,0.06194361525827752,3.0,5.0,23,89,H2
H2-IEkB_H2-IEkA,H2-IEkB,esm3_small,ESM3 Small,0.5372107567229519,0.006942683720514321,3.0,5.0,41,13,H2
H2-IAsB_H2-IAsA,H2-IAsB,esm3_small,ESM3 Small,0.6965686274509805,0.027209194287015584,3.0,5.0,17,8,H2
H2-IAkB_H2-IAkA,H2-IAkB,esm3_small,ESM3 Small,0.5664102564102563,0.09160092675861678,3.0,5.0,20,13,H2
H2-IAbB_H2-IAbA,H2-IAbB,deepneo,DeepNeo,0.5774052273258344,0.05273168518138922,3.0,5.0,1533,509,H2
H2-IAg7B_H2-IAg7A,H2-IAg7B,deepneo,DeepNeo,0.25705200443780524,0.009527282551675807,3.0,5.0,483,79,H2
H2-IAdB_H2-IAdA,H2-IAdB,deepneo,DeepNeo,0.4556243414120127,0.035650148246145694,3.0,5.0,104,146,H2
H2-IAuB_H2-IAuA,H2-IAuB,deepneo,DeepNeo,0.8222222222222223,0.034595447578276796,3.0,5.0,12,9,H2
H2-IEdB_H2-IEdA,H2-IEdB,deepneo,DeepNeo,0.6318189219996743,0.016305831309630734,3.0,5.0,23,89,H2
H2-IEkB_H2-IEkA,H2-IEkB,deepneo,DeepNeo,0.37923702313946217,0.029417844055700262,3.0,5.0,41,13,H2
H2-IAsB_H2-IAsA,H2-IAsB,deepneo,DeepNeo,0.4083333333333334,0.10182518320832752,3.0,5.0,17,8,H2
H2-IAkB_H2-IAkA,H2-IAkB,deepneo,DeepNeo,0.3946153846153846,0.08505132456729222,3.0,5.0,20,13,H2
H2-IAbB_H2-IAbA,H2-IAbB,netmhcpan,netmhcpan,0.914375551873197,,,,1533,509,H2
H2-IAdB_H2-IAdA,H2-IAdB,netmhcpan,netmhcpan,0.7471022128556375,,,,104,146,H2
H2-IAuB_H2-IAuA,H2-IAuB,netmhcpan,netmhcpan,0.32407407407407407,,,,12,9,H2
H2-IEdB_H2-IEdA,H2-IEdB,netmhcpan,netmhcpan,0.6787982413287738,,,,23,89,H2
H2-IEkB_H2-IEkA,H2-IEkB,netmhcpan,netmhcpan,0.7373358348968105,,,,41,13,H2
H2-IAsB_H2-IAsA,H2-IAsB,netmhcpan,netmhcpan,0.7058823529411765,,,,17,8,H2
H2-IAkB_H2-IAkA,H2-IAkB,netmhcpan,netmhcpan,0.582995951417004,,,,19,13,H2
H2-IAbB_H2-IAbA,H2-IAbB,mixmhcpred,mixmhcpred,0.9021878848694792,,,,1533,509,H2
H2-IAg7B_H2-IAg7A,H2-IAg7B,mixmhcpred,mixmhcpred,0.9072516183138088,,,,483,79,H2
H2-IAdB_H2-IAdA,H2-IAdB,mixmhcpred,mixmhcpred,0.704326923076923,,,,104,146,H2
