model,lr,seed,fold,dir,kind,group,root,rel,path,src_path,file_path,val_auc,val_loss,test_path,roc_auc,pr_auc,f1,accuracy,mcc
blosum,e3,s100,0,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold0.csv,,,250513/5_hum_ani/ani_full.csv,0.4897904984308214,0.7147264349993687,0.4434941967012828,0.416025641025641,-0.0183808214549324
blosum,e3,s100,1,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold1.csv,,,250513/5_hum_ani/ani_full.csv,0.4675996194505549,0.7162421301478737,0.5161830357142857,0.4442307692307692,-0.053081746305664
blosum,e3,s100,2,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold2.csv,,,250513/5_hum_ani/ani_full.csv,0.4949757657893001,0.7274208177868169,0.5178672716959728,0.4551282051282051,-0.0100064488437568
blosum,e3,s100,3,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold3.csv,,,250513/5_hum_ani/ani_full.csv,0.4783916520416191,0.7077235674361317,0.4301208552835451,0.410576923076923,-0.0156664112627673
blosum,e3,s100,4,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s100/pred-blosum_fold4.csv,,,250513/5_hum_ani/ani_full.csv,0.5208898333894819,0.7220909753045981,0.7132803632236095,0.5951923076923077,0.0262039886839833
blosum,e3,s128,0,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold0.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold0.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold0.csv,,,250513/5_hum_ani/ani_full.csv,0.557391958260208,0.7574729809092153,0.8,0.6830128205128205,0.0715246580020703
blosum,e3,s128,1,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold1.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold1.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold1.csv,,,250513/5_hum_ani/ani_full.csv,0.4446902259013894,0.6740107223928367,0.5142219743446738,0.4416666666666666,-0.05949217191845
blosum,e3,s128,2,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold2.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold2.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold2.csv,,,250513/5_hum_ani/ani_full.csv,0.4908193213194085,0.6960155077941105,0.3684038020321206,0.3823717948717948,-0.0248556469776871
blosum,e3,s128,3,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold3.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold3.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold3.csv,,,250513/5_hum_ani/ani_full.csv,0.4527651436338996,0.6753220741049815,0.2802101576182136,0.3413461538461538,-0.0647304068967787
blosum,e3,s128,4,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold4.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold4.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s128/pred-blosum_fold4.csv,,,250513/5_hum_ani/ani_full.csv,0.4431862274227692,0.67585205612114,0.5905491698595147,0.4862179487179487,-0.063824116727954
blosum,e3,s42,0,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold0.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold0.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold0.csv,,,250513/5_hum_ani/ani_full.csv,0.4838524650085194,0.727748114683939,0.5384615384615384,0.4576923076923077,-0.0486675682395718
blosum,e3,s42,1,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold1.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold1.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold1.csv,,,250513/5_hum_ani/ani_full.csv,0.4346893005998101,0.6764936421344026,0.8271301719251842,0.7067307692307693,-0.0262183612500824
blosum,e3,s42,2,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold2.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold2.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold2.csv,,,250513/5_hum_ani/ani_full.csv,0.4349546218813885,0.6709892067843839,0.7347715736040609,0.5980769230769231,-0.088543509024352
blosum,e3,s42,3,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold3.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold3.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold3.csv,,,250513/5_hum_ani/ani_full.csv,0.4827206320269881,0.6939267053116666,0.4193254329990884,0.3875,-0.0915094491988168
blosum,e3,s42,4,plot_ani,plots,,260905/9_blosum_rerun/3_humani,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold4.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold4.csv,260905/9_blosum_rerun/3_humani/plot_ani/e3_s42/pred-blosum_fold4.csv,,,250513/5_hum_ani/ani_full.csv,0.4700521798520438,0.7138667020630629,0.6956128448665763,0.5685897435897436,-0.0440149252426666
chai,e5,s100,0,plot_ani,plots,,250513/5_hum_ani,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold0.csv,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold0.csv,/home/hwjang/project/250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold0.csv,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold0.csv,-0.27473,0.37477,250513/5_hum_ani/ani_full.csv,0.6843484471036783,0.851210277394965,0.7877869207449112,0.6858974358974359,0.1859255949459256
chai,e5,s100,1,plot_ani,plots,,250513/5_hum_ani,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold1.csv,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold1.csv,/home/hwjang/project/250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold1.csv,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold1.csv,-11.39854,0.42264,250513/5_hum_ani/ani_full.csv,0.6498053032560902,0.8115747161772671,0.8134206219312602,0.7076923076923077,0.1689478932797521
chai,e5,s100,2,plot_ani,plots,,250513/5_hum_ani,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold2.csv,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold2.csv,/home/hwjang/project/250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold2.csv,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold2.csv,-1.24094,0.38089,250513/5_hum_ani/ani_full.csv,0.6724048997019096,0.8414824302959334,0.809122662831313,0.7022435897435897,0.1585753879182822
chai,e5,s100,3,plot_ani,plots,,250513/5_hum_ani,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold3.csv,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold3.csv,/home/hwjang/project/250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold3.csv,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold3.csv,-0.51942,0.40483,250513/5_hum_ani/ani_full.csv,0.6511817532573427,0.821848162118574,0.8266509433962265,0.7173076923076923,0.1398603139530389
chai,e5,s100,4,plot_ani,plots,,250513/5_hum_ani,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold4.csv,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold4.csv,/home/hwjang/project/250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold4.csv,250513/5_hum_ani/plot_ani/e5_s100/pred-chai_fold4.csv,-3.68494,0.40022,250513/5_hum_ani/ani_full.csv,0.6046891830200514,0.7899619438609669,0.7316508451030331,0.628525641025641,0.1330798188798552
chai,e5,s128,0,plot_ani,plots,,250513/5_hum_ani,250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold0.csv,250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold0.csv,/home/hwjang/project/250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold0.csv,250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold0.csv,-1.49317,0.36898,250513/5_hum_ani/ani_full.csv,0.628311467758352,0.8119601390903648,0.7367688022284122,0.6365384615384615,0.155275709604088
chai,e5,s128,1,plot_ani,plots,,250513/5_hum_ani,250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold1.csv,250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold1.csv,/home/hwjang/project/250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold1.csv,250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold1.csv,-4.44589,0.39999,250513/5_hum_ani/ani_full.csv,0.6000800564791815,0.79354933461842,0.597904026475455,0.5326923076923077,0.1324546154109329
chai,e5,s128,2,plot_ani,plots,,250513/5_hum_ani,250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold2.csv,250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold2.csv,/home/hwjang/project/250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold2.csv,250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold2.csv,-0.72394,0.37813,250513/5_hum_ani/ani_full.csv,0.6346812233816042,0.8009827232435421,0.7552897884084636,0.658974358974359,0.1965800370262958
chai,e5,s128,3,plot_ani,plots,,250513/5_hum_ani,250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold3.csv,250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold3.csv,/home/hwjang/project/250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold3.csv,250513/5_hum_ani/plot_ani/e5_s128/pred-chai_fold3.csv,-0.13012,0.38607,250513/5_hum_ani/ani_full.csv,0.6003791180393422,0.7922121815941452,0.6711644177911045,0.5782051282051283,0.1148316882734008
