model,lr,seed,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
blosum,e3,s100,0.4903294738203555,0.7176407851349579,0.5241891445237392,0.4642307692307693,-0.014186287836627495,5
blosum,e3,s128,0.477770575307535,0.6957346682644567,0.5106770207709046,0.46692307692307694,-0.028275536903759935,5
blosum,e3,s42,0.46125383987374996,0.696604874195491,0.6430603123712897,0.5437179487179487,-0.05979076259109796,5
chai,e5,s100,0.6524859172678145,0.8232155059695412,0.7937263988013488,0.6883333333333332,0.15727780179537082,5
chai,e5,s128,0.6213490079080056,0.8025904795798185,0.7066808525252416,0.6149358974358974,0.15221983827313998,5
chai,e5,s42,0.6086698201898759,0.7965977549595263,0.6984831049209832,0.6046153846153846,0.12680962660179884,5
deepneo,e3,s100,0.4991383448552977,0.7345383275682634,0.2520561810229033,0.35570512820512823,0.04387330454478281,5
deepneo,e3,s128,0.5653180609155168,0.780151398469704,0.644216792167172,0.5630128205128205,0.1307478218717147,5
deepneo,e3,s42,0.5224033916137004,0.7609399927560714,0.5538103761796254,0.49564102564102563,0.07322887288785367,5
esm3_small,e5,s100,0.6646852773271974,0.8308096716435374,0.7106067523173198,0.6260897435897436,0.20820804212470184,5
esm3_small,e5,s128,0.680129480875141,0.8398068905913416,0.7665783482445329,0.6734615384615384,0.22488436359434144,5
esm3_small,e5,s42,0.7007331353562846,0.859607981882562,0.7550046668026282,0.6715384615384615,0.25065265562232397,5
esmc_small,e5,s100,0.6962257919891377,0.8480514372186541,0.7636799648444589,0.674551282051282,0.24445821234684403,5
esmc_small,e5,s128,0.6557307607563753,0.8184176657703002,0.7152893263131145,0.6282692307692308,0.2037929525716426,5
esmc_small,e5,s42,0.6874563357341756,0.8428999163860359,0.7107515494580177,0.6357051282051283,0.26141553604205714,5
