model,lr,seed,fold,dir,kind,group,root,rel,path,val_auc,val_loss,test_path,serotype,roc_auc,pr_auc,f1,accuracy,mcc
af3,e5,s100,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,-0.7407,0.41777,dataset/full/test.csv,DR,0.8675964887156855,0.8855133093790739,0.7955575449001286,0.7822472512737999,0.5626607905513695
af3,e5,s100,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,-0.7407,0.41777,dataset/full/test.csv,DP,0.9640283675432922,0.9915951167164252,0.9509366636931312,0.9193942354665364,0.7257845194729615
af3,e5,s100,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,-0.7407,0.41777,dataset/full/test.csv,DQ,0.8608366723452245,0.8829335048257592,0.786261882858019,0.7544910179640718,0.515107599348811
af3,e5,s100,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,-0.7407,0.41777,dataset/full/test.csv,H2,0.8368829369136055,0.9235604079928306,0.8548504741064916,0.7848648648648648,0.4479162178464259
af3,e5,s100,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,3.60797,0.47401,dataset/full/test.csv,DR,0.8311016025417219,0.8481688591995591,0.7741414576380665,0.7499478561425464,0.4972629724528661
af3,e5,s100,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,3.60797,0.47401,dataset/full/test.csv,DP,0.9296853172447652,0.9822486251323458,0.9362200117027502,0.8935026868588177,0.6205845744924914
af3,e5,s100,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,3.60797,0.47401,dataset/full/test.csv,DQ,0.8180658692817868,0.851097106877853,0.7503598272829042,0.7250792532581894,0.4492896815295324
af3,e5,s100,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,3.60797,0.47401,dataset/full/test.csv,H2,0.8097043322201777,0.9016905370012738,0.8587731811697575,0.7859459459459459,0.4385294476847196
af3,e5,s100,2,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold2.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold2.csv,-2.27773,0.43182,dataset/full/test.csv,DR,0.8632782661905075,0.8794888195264874,0.797046343748278,0.780519054855338,0.5587323404842804
af3,e5,s100,2,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold2.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold2.csv,-2.27773,0.43182,dataset/full/test.csv,DP,0.9603605069273592,0.990510183869687,0.9517838483355724,0.921104054714216,0.7349485759007133
af3,e5,s100,2,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold2.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold2.csv,-2.27773,0.43182,dataset/full/test.csv,DQ,0.8521025332732659,0.876833774133642,0.7806472703497875,0.7636491722437478,0.5261690154474438
af3,e5,s100,2,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold2.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold2.csv,-2.27773,0.43182,dataset/full/test.csv,H2,0.8187714396056248,0.9066470162051274,0.8647540983606558,0.7859459459459459,0.4272690347909428
af3,e5,s100,3,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold3.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold3.csv,-2.44938,0.42605,dataset/full/test.csv,DR,0.8603980686179526,0.879871415683941,0.7906064373532256,0.7741724024909865,0.5459945881249114
af3,e5,s100,3,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold3.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold3.csv,-2.44938,0.42605,dataset/full/test.csv,DP,0.9561124074282098,0.9894492411802248,0.9468053491827636,0.9125549584758182,0.7019233121899432
af3,e5,s100,3,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold3.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold3.csv,-2.44938,0.42605,dataset/full/test.csv,DQ,0.8697663536995656,0.8933922207018463,0.7912161038096822,0.7789714688270518,0.5567518465765307
af3,e5,s100,3,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold3.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold3.csv,-2.44938,0.42605,dataset/full/test.csv,H2,0.8192882618869124,0.9021088281191476,0.867739678096571,0.7956756756756757,0.4597088647069703
af3,e5,s100,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,-1.304,0.4353,dataset/full/test.csv,DR,0.8571494915262889,0.8763240927843093,0.791528103363681,0.7721164446828164,0.5418077807493595
af3,e5,s100,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,-1.304,0.4353,dataset/full/test.csv,DP,0.9516150098125128,0.9883375313322011,0.9448173005219984,0.9096238397655104,0.6954764936768276
af3,e5,s100,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,-1.304,0.4353,dataset/full/test.csv,DQ,0.8621891834910103,0.885096914384182,0.7881466928618206,0.7721028531172949,0.54314267244657
af3,e5,s100,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,-1.304,0.4353,dataset/full/test.csv,H2,0.7826165973784047,0.8968899729186198,0.8227374719521316,0.7437837837837837,0.3619378948150031
