model,lr,serotype,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,accuracy,accuracy_sd,mcc,mcc_sd,n_seeds,seeds,n
af3,e5,DP,0.9505879280581917,0.0038208442277569013,0.9879781763395558,0.0007823217158458737,0.9444566930390823,0.004323060616411851,0.9092167399446344,0.00649296520709555,0.6966005859120434,0.01637517373877608,3.0,s100|s128|s42,
af3,e5,DQ,0.8488559264021779,0.0112476555817658,0.8751992732834536,0.009159581279876792,0.771465461150056,0.011899056591154016,0.7572854291417165,0.009433194406970052,0.5152854639600147,0.019563389755319977,3.0,s100|s128|s42,
af3,e5,DR,0.8521952572236513,0.005566388747195289,0.8710919480243534,0.004256633976499699,0.7850226910241488,0.004242970971321788,0.7682607788802479,0.005454226125007807,0.5345909496779546,0.011106414659753303,3.0,s100|s128|s42,
af3,e5,H2,0.8175588950226039,0.00419126074291621,0.9116485534540244,0.00475193830278454,0.8450905226079728,0.008644592990523399,0.772972972972973,0.005609133738842345,0.42972146133225436,0.011786632413280745,3.0,s100|s128|s42,
blosum,e3,DP,0.949355408764322,0.004340764937768182,0.987783957183951,0.0011509019073234008,0.9425805715380982,0.0028862526541222878,0.9065787331053574,0.0044703119533188685,0.6925715887369401,0.013655548684703377,3.0,s100|s128|s42,
blosum,e3,DQ,0.838578142823188,0.00847635218433123,0.8602203229721049,0.007357705211988215,0.7610441348214877,0.0066333267756807385,0.7532229658330398,0.0073018422166063164,0.5066103751888659,0.014524363720504807,3.0,s100|s128|s42,
blosum,e3,DR,0.8474218739301828,0.004705856696905891,0.8623884051969154,0.004487662565649866,0.7790005835045285,0.0032758809585238286,0.7651281745677027,0.004168035149665874,0.5286962259688961,0.008635753106425366,3.0,s100|s128|s42,
blosum,e3,H2,0.8128843984037196,0.0014386543386745818,0.8991354974860193,0.004432828443217519,0.8595342756887684,0.004045593053171615,0.7841441441441441,0.005614687337963984,0.42900530504081696,0.0201004497167414,3.0,s100|s128|s42,
boltz,e5,DP,0.962131516774436,0.004223039052349478,0.9910743708500366,0.0010404375402667148,0.9501102296659077,0.0015203336725093924,0.9187835857352223,0.0031124691607855846,0.7340715440875982,0.018922063053880785,3.0,s100|s128|s42,
boltz,e5,DQ,0.8424579188367343,0.008880242931628762,0.8640374852961084,0.008434293790475935,0.7696016247593365,0.011739873973218573,0.7532347070564752,0.009761745240776084,0.5070227964508475,0.0190925190048559,3.0,s100|s128|s42,
boltz,e5,DR,0.8625040622898851,0.0034418542750785145,0.8792112080967552,0.0030193313013021374,0.79539931031327,0.001655188119000654,0.7787729805428919,0.002492931840921518,0.5560535889533345,0.005171566714797058,3.0,s100|s128|s42,
boltz,e5,H2,0.8193893545968786,0.01246945982804698,0.9134794969990002,0.008320624903397718,0.8461578969019423,0.008114220454778233,0.7773693693693694,0.007602493407700053,0.4463302542459253,0.005959201683812126,3.0,s100|s128|s42,
chai,e5,DP,0.9800677316165731,0.0008244580554087532,0.9954900779988692,0.00019006649581041588,0.9645893727183604,0.001404217128474208,0.942615209249308,0.0022459073951938955,0.8145481549833381,0.006954561852605074,3.0,s100|s128|s42,
chai,e5,DQ,0.8826881225322057,0.0013905654569937574,0.9023327012646934,0.0014466234021510524,0.7974355745194334,0.005122064595834394,0.7926147704590818,0.0024531290785017213,0.5869671397478983,0.005496751928209419,3.0,s100|s128|s42,
chai,e5,DR,0.8949958222218508,0.000841855622888583,0.9090255388239701,0.0008165177623169501,0.8230940795955494,0.0016478947682516847,0.8114934993991042,0.0007371565706127334,0.6220325670598136,0.0016514934068981469,3.0,s100|s128|s42,
