model,lr,seed,fold,dir,kind,group,root,rel,path,src_path,file_path,val_auc,val_loss,test_path,serotype,roc_auc,pr_auc,f1,accuracy,mcc
blosum,e3,s100,0,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,,,dataset/ms_ql/test.csv,DR,0.9304190037650046,0.8222342812253484,0.7345956003064463,0.882697237943211,0.6635554617656368
blosum,e3,s100,0,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,,,dataset/ms_ql/test.csv,DP,0.9773706117540396,0.9939954065963346,0.9604639764744324,0.9370611183355008,0.806741058209196
blosum,e3,s100,0,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,,,dataset/ms_ql/test.csv,DQ,0.971572746734149,0.9564126580219714,0.8758260869565218,0.9173419773095624,0.8174505356506506
blosum,e3,s100,0,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold0.csv,,,dataset/ms_ql/test.csv,H2,0.8538069668181194,0.9077732923990064,0.8373435996150145,0.7908415841584159,0.5482081518515237
blosum,e3,s100,1,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,,,dataset/ms_ql/test.csv,DR,0.9443208606886528,0.8603647426033433,0.7749815731283564,0.8966284525709863,0.708996687746798
blosum,e3,s100,1,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,,,dataset/ms_ql/test.csv,DP,0.9828815138507702,0.9955965305591924,0.968765251342118,0.9500650195058518,0.8444172787035791
blosum,e3,s100,1,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,,,dataset/ms_ql/test.csv,DQ,0.9745593789833896,0.960545501339936,0.8914323086984958,0.9231303542486686,0.8319508691622282
blosum,e3,s100,1,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold1.csv,,,dataset/ms_ql/test.csv,H2,0.8617857634586259,0.9087324023556343,0.8631006346328196,0.8131188118811881,0.5710042847503318
blosum,e3,s100,2,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,,,dataset/ms_ql/test.csv,DR,0.9340501321264184,0.8356650990675005,0.7469447956173619,0.8838098002225124,0.6726482078586999
blosum,e3,s100,2,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,,,dataset/ms_ql/test.csv,DP,0.9837558248418288,0.9959448280978364,0.9655446805124532,0.9436931079323796,0.816331166461329
