model,lr,serotype,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,accuracy,accuracy_sd,mcc,mcc_sd,n_seeds,seeds,n
blosum,e3,DP,0.9756185310838252,0.008986249140007884,0.9935783751450064,0.002540563780389247,0.9617551844561353,0.004431984358071783,0.9382661465106198,0.007695775658169593,0.8036381763268766,0.028875409286924215,3.0,s100|s128|s42,
blosum,e3,DQ,0.9614598255144218,0.012799849918694046,0.9415382672648932,0.019403172727168464,0.8622808096290421,0.01898765940908683,0.9044068843096396,0.015229752500422201,0.7904523191148017,0.032193639682487785,3.0,s100|s128|s42,
blosum,e3,DR,0.9290654454440596,0.009119582519935701,0.822515464413847,0.025046338981205958,0.7382637747641164,0.014996669611261544,0.8808558667505121,0.007997505576996406,0.6633300650297639,0.020792230127559888,3.0,s100|s128|s42,
blosum,e3,H2,0.856835559227133,0.009006285127184453,0.9124379373236732,0.0063308773143785566,0.8492996323743537,0.007876684871663283,0.7976897689768977,0.005732393957980814,0.5455623286487791,0.00845098055787851,3.0,s100|s128|s42,
chai,e5,DP,0.9950399152451318,0.0010825239541289269,0.9987171496520393,0.00029891345875597666,0.9837803129295782,0.001962741447709456,0.9740182054616384,0.003138550208599856,0.9187438916238966,0.009787335347268682,3.0,s100|s128|s42,
chai,e5,DQ,0.9883159383179109,0.0020952741886120685,0.9823981354243791,0.002645109924531374,0.9285076595594944,0.00655233958191341,0.9499421162306089,0.003988053090029205,0.8908263207220196,0.009008030171093506,3.0,s100|s128|s42,
chai,e5,DR,0.9767263592268861,0.0023870208228514377,0.9433682360781561,0.0062736227950463295,0.879058600823884,0.009227178620353708,0.942169335203728,0.0043134327325200315,0.841312748598864,0.012031347829179289,3.0,s100|s128|s42,
chai,e5,H2,0.9187369773739044,0.005418011417986173,0.954632474780491,0.001464566120985999,0.8884793954916629,0.00984177783496573,0.8518151815181518,0.010158571850139186,0.6695073668148298,0.0160286775804869,3.0,s100|s128|s42,
deepneo,e3,DP,0.9861199706747376,0.0009179188446702275,0.9964321733314375,0.0002711150338206179,0.9730657900130621,0.0004376135186137307,0.9566527705402118,0.0006939372713371365,0.8624514727568432,0.0023821621706094994,3.0,s100|s128|s42,
deepneo,e3,DQ,0.961019027400976,0.002183610484094147,0.9484771907653732,0.0021632116697277532,0.8723931829523649,0.004021957880189395,0.9024622176940058,0.0039742718202307355,0.793779983756151,0.007617681321351846,3.0,s100|s128|s42,
deepneo,e3,DR,0.9726212647063389,0.0003487256007242712,0.9382908679661974,0.0013628225199762388,0.8636114689145092,0.0006220817217255035,0.9367226172624518,5.91118940318851e-05,0.823164888457984,0.0003108611922452118,3.0,s100|s128|s42,
deepneo,e3,H2,0.9023275505989261,0.005597453040470266,0.9411519613093033,0.004346630722672307,0.8859226861375765,0.003462985773303746,0.8462871287128713,0.0044623159349801815,0.6512677988280395,0.009827607336743295,3.0,s100|s128|s42,
esm3_small,e5,DP,0.9969154455654939,0.00022477209875698968,0.9992238428214019,4.523026904988036e-05,0.9867893563739263,0.0012883767806580672,0.9788469874295623,0.002008222284612451,0.933909711197919,0.005685967551939615,3.0,s100|s128|s42,
esm3_small,e5,DQ,0.9871183734635133,0.0016913690640229778,0.9806041331395229,0.002522040347046608,0.9282076591744189,0.00717977757090878,0.9499729875742841,0.004832450098785234,0.8904993305157034,0.01058974294076759,3.0,s100|s128|s42,
esm3_small,e5,DR,0.9839034566624747,0.00016939417359009863,0.9618963909152723,0.0010623268820589842,0.9063160032656162,0.0017939787148880271,0.9558103161934247,0.0008979193434511082,0.8776211696682784,0.0024346486928602993,3.0,s100|s128|s42,
esm3_small,e5,H2,0.9352292441140024,0.0008189152001740356,0.9662216515288122,0.0009204564708258956,0.9055944776805419,0.0019649292658498302,0.8745874587458745,0.0035034445124689784,0.7205225464150672,0.011203995434650674,3.0,s100|s128|s42,
esmc_small,e5,DP,0.9973005789900574,0.0002784328686255541,0.9993350001657627,6.778873584978595e-05,0.9876786809507386,0.001377540557433315,0.9803207628955354,0.002146287224034268,0.9391275123611776,0.005911183038412189,3.0,s100|s128|s42,
esmc_small,e5,DQ,0.991167516926128,0.0015082872518119043,0.9864206343595505,0.0019801867194516004,0.9438324316035965,0.0036570936775072475,0.9607316508451031,0.0023470851396108126,0.9138350497454418,0.005296156761207531,3.0,s100|s128|s42,
esmc_small,e5,DR,0.9815607223545616,0.001373883838741976,0.9557129786773135,0.003443618579919577,0.8938255626686659,0.007555160376611792,0.9501636595236943,0.0031409116753736152,0.861748087505081,0.009206369318266534,3.0,s100|s128|s42,
esmc_small,e5,H2,0.9242241498003579,0.010847985493195388,0.9582750079262152,0.0034810602850651484,0.8940010895733513,0.01072960373527773,0.8616336633663367,0.01238366113994948,0.696743169289152,0.022903771154838444,3.0,s100|s128|s42,
netmhcpan,,DR,0.9722660742229066,,0.9539518512731687,,,,,,,,,,20673.0
netmhcpan,,DP,0.9819444255445096,,0.9954554495844565,,,,,,,,,,7690.0
netmhcpan,,DQ,0.9563671768223435,,0.940024583856714,,,,,,,,,,4319.0
netmhcpan,,H2,0.9022355689022356,,0.9492739242987436,,,,,,,,,,650.0
mixmhcpred,,DR,0.960855173086445,,0.9313167135775229,,,,,,,,,,20672.0
mixmhcpred,,DP,0.9650087962659777,,0.9908943634684985,,,,,,,,,,7690.0
mixmhcpred,,DQ,0.8812952233610157,,0.8428920098558244,,,,,,,,,,4319.0
mixmhcpred,,H2,0.8932775712515489,,0.9472497866491134,,,,,,,,,,808.0
