model,lr,seed,fold,dir,kind,group,root,rel,path,src_path,file_path,val_auc,val_loss,test_path,stratum,roc_auc,pr_auc,f1,accuracy,mcc
af3,e5,s100,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,-0.7407,0.41777,dataset/full/test.csv,Overall,0.8887596484591962,0.9222880251932266,0.8325305214482143,0.802262574454004,0.5917052171582722
af3,e5,s100,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,-0.7407,0.41777,dataset/full/test.csv,No 9-mer overlap,0.8560131928021135,0.9948873116252064,0.9563106796116504,0.9173680183626626,0.2427121147683242
af3,e5,s100,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,-0.7407,0.41777,dataset/full/test.csv,>=1 9-mer overlap,0.878179333173289,0.8997063208416077,0.8066012753426689,0.7883081346813839,0.5739210958235503
af3,e5,s100,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,-0.7407,0.41777,dataset/full/test.csv,Exact 15-mer match,0.8620984281988466,0.8631306044166615,0.7680911361149303,0.7713439938029104,0.5443608072310769
af3,e5,s100,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold0.csv,-0.7407,0.41777,dataset/full/test.csv,"9-mer overlap, not exact",0.9094853373217242,0.9801047173252512,0.925285368384642,0.8761822871883062,0.5645874016875321
af3,e5,s100,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,3.60797,0.47401,dataset/full/test.csv,Overall,0.8561954778608681,0.8967575019986271,0.8115178769898945,0.7720259761747187,0.5266932214355496
af3,e5,s100,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,3.60797,0.47401,dataset/full/test.csv,No 9-mer overlap,0.7942307798818076,0.9925596935006484,0.9481496543310288,0.9024483550114768,0.171540149583891
af3,e5,s100,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,3.60797,0.47401,dataset/full/test.csv,>=1 9-mer overlap,0.8460670731045209,0.8710820652102496,0.7838921207885379,0.7562146368611447,0.5098939729203447
af3,e5,s100,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,3.60797,0.47401,dataset/full/test.csv,Exact 15-mer match,0.8297239044941714,0.8311858207120436,0.7426532212279326,0.7366513583799037,0.4805130601349682
af3,e5,s100,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,/home/hwjang/project/250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold1.csv,3.60797,0.47401,dataset/full/test.csv,"9-mer overlap, not exact",0.8571536569152882,0.965788387132789,0.9147366615199862,0.8575523072513614,0.4822140799795148
