model,lr,stratum,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,accuracy,accuracy_sd,mcc,mcc_sd,n_seeds,seeds,n
af3,e5,"9-mer overlap, not exact",0.8942697396664867,0.008089961628988767,0.9762556111095607,0.0019699851763435488,0.9159629016598082,0.0044464323673255954,0.86172733352441,0.0068236863987825745,0.5278723823210988,0.02422806236908513,3.0,s100|s128|s42,
af3,e5,>=1 9-mer overlap,0.8659816617949104,0.0057869584026680725,0.889523130295947,0.0041085347029915596,0.7966712810673275,0.005079877948313081,0.7775994805676655,0.006249318313064374,0.5526511721203126,0.012716767698761632,3.0,s100|s128|s42,
af3,e5,Exact 15-mer match,0.8503883607350285,0.006251172166941399,0.8521736925802218,0.005137578972538104,0.7582779467389922,0.005546667491080779,0.7613585643409136,0.006694851256978759,0.5248923324490445,0.012624345494593413,3.0,s100|s128|s42,
af3,e5,No 9-mer overlap,0.8313297665136185,0.013567619872783336,0.9940208974515682,0.0005867816740410458,0.9471124541917563,0.004015049932078747,0.9009053812802857,0.007105274889553405,0.21465634765259237,0.019235108460516397,3.0,s100|s128|s42,
af3,e5,Overall,0.8760334497641095,0.005630896725230394,0.9130479037141944,0.003540779287335391,0.8225541107752727,0.004781856943188145,0.7909317780719171,0.005906363267337678,0.568846043181855,0.012819089179343336,3.0,s100|s128|s42,
blosum,e3,"9-mer overlap, not exact",0.8713034926117827,0.007694223413468481,0.9697179018288352,0.002217854661572254,0.911009255636861,0.0022728248685594176,0.8529760198719787,0.0031857279659768885,0.4891563761873708,0.007387919077329163,3.0,s100|s128|s42,
blosum,e3,>=1 9-mer overlap,0.8636653974158882,0.004778251738018157,0.8850763896649624,0.004365941999760708,0.7939507331960195,0.0034120202551128497,0.7773799585690876,0.004498885331075239,0.5523421649022761,0.009242932362609493,3.0,s100|s128|s42,
blosum,e3,Exact 15-mer match,0.8491947437266768,0.0050762265899703275,0.8476947949354323,0.00532112733005826,0.7554505494575693,0.004115832097452216,0.7627861081908556,0.005208473587786673,0.5258998253357093,0.010009650082665241,3.0,s100|s128|s42,
blosum,e3,No 9-mer overlap,0.7559353301615962,0.01970186506635606,0.9900326232576767,0.0012819333068370671,0.9331062187987255,0.003738191459163808,0.8760392756949757,0.0064825188093439136,0.1462306690480671,0.012872507842495103,3.0,s100|s128|s42,
blosum,e3,Overall,0.8713232960301921,0.004757517613977041,0.9072839539560613,0.003886339336735408,0.8179140495793097,0.00330484093062068,0.7880473748069711,0.004289697648292041,0.5645911863235478,0.00935776279472232,3.0,s100|s128|s42,
boltz,e5,"9-mer overlap, not exact",0.8853187547357196,0.0017971725514365573,0.9740292544895807,0.0006615879708042784,0.9144811605660855,0.0013393314032621806,0.8585841215247921,0.0018018038000001198,0.5068024197647496,0.0009811943090995538,3.0,s100|s128|s42,
boltz,e5,>=1 9-mer overlap,0.8745715429834418,0.004229970659489165,0.8963636724487256,0.0036303526569930584,0.8056460756035588,0.002480104081519657,0.7870806666048296,0.0038202215601551015,0.5720907301822026,0.007884201392542107,3.0,s100|s128|s42,
