model,lr,seed,stratum,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
af3,e5,s100,"9-mer overlap, not exact",0.8947107081174439,0.9758481281748155,0.9210141394819011,0.8691602178274577,0.5406919890529911,5
af3,e5,s100,>=1 9-mer overlap,0.8692750448872566,0.8917967400068214,0.8010530085256505,0.7800853353121232,0.5575192256901749,5
af3,e5,s100,Exact 15-mer match,0.8537464289022072,0.8550834693929655,0.7626451902872473,0.7628893930172079,0.5291986253072322,5
af3,e5,s100,No 9-mer overlap,0.8268117948746351,0.9936996223647941,0.951748218546044,0.9091048201989288,0.2188990315093629,5
af3,e5,s100,Overall,0.879181160653336,0.914841419053732,0.82686287259737,0.7940354070152218,0.5739638479171478,5
af3,e5,s128,"9-mer overlap, not exact",0.9021301984105788,0.9783974727585607,0.9142338429446626,0.8602751504729149,0.5429972549125474,5
af3,e5,s128,>=1 9-mer overlap,0.8693702565771895,0.8919923040271973,0.7978576215562274,0.782223355903905,0.5622147584952971,5
af3,e5,s128,Exact 15-mer match,0.8542428325111251,0.8551959256680781,0.7601515294333725,0.7671554252199414,0.5348001138669906,5
af3,e5,s128,No 9-mer overlap,0.8465799515931611,0.9946981581380239,0.9448483548717563,0.8970543228768172,0.2314159252663389,5
af3,e5,s128,Overall,0.8793866558219126,0.9153330629205799,0.8233900617012354,0.7946393117140966,0.5783156529169802,5
af3,e5,s42,"9-mer overlap, not exact",0.8859683124714373,0.9745212323953056,0.9126407225528608,0.8557466322728576,0.4999279029977579,5
af3,e5,s42,>=1 9-mer overlap,0.8592996839202852,0.8847803468538222,0.7911032131201047,0.7704897504869679,0.5382195321754658,5
af3,e5,s42,Exact 15-mer match,0.8431758207917532,0.8462416826796219,0.7520371204963567,0.7540308747855918,0.5106782581729108,5
af3,e5,s42,No 9-mer overlap,0.8205975530730589,0.9936649118518865,0.9447407891574686,0.8965570007651109,0.19365408618207533,5
af3,e5,s42,Overall,0.8695325328170798,0.9089692291682713,0.8174093980272126,0.7841206154864329,0.5542586287114373,5
blosum,e3,s100,"9-mer overlap, not exact",0.8708918831496419,0.9694020005523747,0.9084092888053986,0.8492977930639152,0.48525388155636967,5
blosum,e3,s100,>=1 9-mer overlap,0.8617759368303439,0.8832584954817824,0.7916567769859544,0.7756933494110008,0.5489836552878875,5
blosum,e3,s100,Exact 15-mer match,0.8474227146820625,0.8457410901146668,0.7532884148956219,0.7614839816300558,0.5229384362170704,5
blosum,e3,s100,No 9-mer overlap,0.7436140634605906,0.9889827114791793,0.9287909019470044,0.8685539403213467,0.14138095029670075,5
blosum,e3,s100,Overall,0.8692092033254415,0.9054053278526005,0.8152600992711353,0.7857337855724685,0.5603611885735157,5
blosum,e3,s128,"9-mer overlap, not exact",0.8791952590376819,0.972076769114171,0.9119996227745736,0.8547721410146174,0.49767719350664025,5
blosum,e3,s128,>=1 9-mer overlap,0.8690994643738736,0.890057546856651,0.7978717347149814,0.782478434282534,0.5627947946893352,5
blosum,e3,s128,Exact 15-mer match,0.8549194575774713,0.8537166125753961,0.7601968526731646,0.7685221047972113,0.5370560418780231,5
blosum,e3,s128,No 9-mer overlap,0.7786580671603351,0.9914612477511202,0.9351766663462296,0.8797628156082633,0.16082358616439163,5
