kind,a,b,value,lo,hi
marginal,blosum,,0.8713232960301921,0.8687923055026446,0.8740829387074567
marginal,deepneo,,0.8942827071461861,0.8916936067042218,0.8968658444510323
marginal,chai,,0.9138029647743537,0.9118683966155415,0.9159867890512932
marginal,esmc_small,,0.9192562871217405,0.917230933736494,0.9213027711128157
marginal,esm3_small,,0.9210836366459786,0.9191415656905269,0.9230756714599414
paired,blosum,esm3_small,-0.04976034061578649,-0.051565640657784496,-0.04775863677516463
paired,blosum,esmc_small,-0.04793299109154836,-0.049728159034940815,-0.04594026398174601
paired,blosum,chai,-0.04247966874416165,-0.04442233622529123,-0.04048736258494454
paired,chai,esm3_small,-0.007280671871624844,-0.00828330404577456,-0.0061322356633045725
paired,chai,esmc_small,-0.005453322347386713,-0.00647342820001334,-0.004365907521074422
paired,esm3_small,esmc_small,0.001827349524238131,0.0008572646859648092,0.002804848954567576
