method,HLA_Name,beta,roc_auc,roc_auc_sd,n_seeds,n_folds,pos_count,neg_count,HLA_Type
BLOSUM62,H2-IAbB_H2-IAbA,H2-IAbB,0.476279459402424,0.0131638639752408,3.0,5.0,1533,509,H2
BLOSUM62,H2-IAg7B_H2-IAg7A,H2-IAg7B,0.5439997903399113,0.035310469248175,3.0,5.0,483,79,H2
BLOSUM62,H2-IAdB_H2-IAdA,H2-IAdB,0.5638720583069898,0.0356437933106467,3.0,5.0,104,146,H2
BLOSUM62,H2-IAuB_H2-IAuA,H2-IAuB,0.3191358024691358,0.0347602672229656,3.0,5.0,12,9,H2
BLOSUM62,H2-IEdB_H2-IEdA,H2-IEdB,0.5196547793518972,0.0192316368320783,3.0,5.0,23,89,H2
BLOSUM62,H2-IEkB_H2-IEkA,H2-IEkB,0.5482801751094434,0.0356967827172495,3.0,5.0,41,13,H2
BLOSUM62,H2-IAsB_H2-IAsA,H2-IAsB,0.4254901960784313,0.0472499183768663,3.0,5.0,17,8,H2
BLOSUM62,H2-IAkB_H2-IAkA,H2-IAkB,0.363076923076923,0.0598370568525981,3.0,5.0,20,13,H2
Chai-1,H2-IAbB_H2-IAbA,H2-IAbB,0.6301359610507281,0.0317450884644765,3.0,5.0,1533,509,H2
Chai-1,H2-IAg7B_H2-IAg7A,H2-IAg7B,0.6720680346987447,0.0182850845238479,3.0,5.0,483,79,H2
Chai-1,H2-IAdB_H2-IAdA,H2-IAdB,0.6540525114155251,0.0032971083557,3.0,5.0,104,146,H2
Chai-1,H2-IAuB_H2-IAuA,H2-IAuB,0.2216049382716049,0.0396025060057912,3.0,5.0,12,9,H2
Chai-1,H2-IEdB_H2-IEdA,H2-IEdB,0.6060576453346361,0.0104076500376335,3.0,5.0,23,89,H2
Chai-1,H2-IEkB_H2-IEkA,H2-IEkB,0.634021263289556,0.0184374731927381,3.0,5.0,41,13,H2
Chai-1,H2-IAsB_H2-IAsA,H2-IAsB,0.8303921568627451,0.0111351144035299,3.0,5.0,17,8,H2
Chai-1,H2-IAkB_H2-IAkA,H2-IAkB,0.5202564102564103,0.0178311165648346,3.0,5.0,20,13,H2
ESMC 300M,H2-IAbB_H2-IAbA,H2-IAbB,0.6907131515307633,0.013476941378186,3.0,5.0,1533,509,H2
ESMC 300M,H2-IAg7B_H2-IAg7A,H2-IAg7B,0.7293864821657886,0.025059192326869,3.0,5.0,483,79,H2
