kind,a,b,value,lo,hi
marginal,BLOSUM62,,0.8713232960301921,0.8687923055026446,0.8740829387074567
marginal,DeepNeo,,0.8942827071461861,0.8916936067042218,0.8968658444510323
marginal,Chai-1,,0.9138029647743536,0.9118683966155416,0.9159867890512932
marginal,ESMC 300M,,0.9192562871217403,0.917230933736494,0.9213027711128156
marginal,ESM3 Small,,0.9210836366459786,0.9191415656905269,0.9230756714599414
paired,BLOSUM62,ESM3 Small,-0.0497603406157864,-0.0515656406577844,-0.0477586367751646
paired,BLOSUM62,ESMC 300M,-0.0479329910915483,-0.0497281590349408,-0.045940263981746
paired,BLOSUM62,Chai-1,-0.0424796687441616,-0.0444223362252912,-0.0404873625849445
paired,Chai-1,ESM3 Small,-0.0072806718716248,-0.0082833040457745,-0.0061322356633045
paired,Chai-1,ESMC 300M,-0.0054533223473867,-0.0064734282000133,-0.0043659075210744
paired,ESM3 Small,ESMC 300M,0.0018273495242381,0.0008572646859648,0.0028048489545675
